Release Event,Date,Batch,Vessel,Vessel Trip Per Batch,Marina,Time,ReleaseLatitude,ReleaseLongitude
1,12/14/2021,1,Splittail,1,Rio Vista,8:45,38.14425,-121.69309
1,12/14/2021,1,Splittail,2,Rio Vista,8:45,38.14425,-121.69309
1,12/14/2021,1,Splittail,3,Rio Vista,9:28,38.14425,-121.69309
1,12/14/2021,1,Winter Run,1,Rio Vista,9:14,38.14425,-121.6931
1,12/14/2021,1,Winter Run,2,Rio Vista,9:47,38.14425,-121.69309
1,12/14/2021,2,Splittail,1,Rio Vista,11:04,38.14425,-121.69309
1,12/14/2021,2,Splittail,2,Rio Vista,11:04,38.14425,-121.69309
1,12/14/2021,2,Splittail,3,Rio Vista,11:43,38.14425,-121.69309
1,12/14/2021,2,Winter Run,1,Rio Vista,11:54,38.14423,-121.69309
1,12/14/2021,2,Winter Run,2,Rio Vista,12:14,38.14425,-121.69318
1,12/15/2021,1,Splittail,1,Rio Vista,9:49,38.11722,-121.707
1,12/15/2021,1,Splittail,2,Rio Vista,9:49,38.11722,-121.707
1,12/15/2021,1,Splittail,3,Rio Vista,10:30,38.11722,-121.707
1,12/15/2021,1,Winter Run,1,Rio Vista,9:37,38.11702,-121.70655
1,12/15/2021,1,Winter Run,2,Rio Vista,10:14,38.11721,-121.70649
1,12/15/2021,2,Shamu,1,Rio Vista,,,
1,12/15/2021,2,Splittail,1,Rio Vista,11:34,38.11722222,-121.7066667
1,12/15/2021,2,Splittail,2,Rio Vista,11:58,38.11722222,-121.7066667
1,12/15/2021,2,Winter Run,1,Rio Vista,11:56,38.11721,-121.70648
1,12/15/2021,2,Winter Run,2,Rio Vista,,,
2,1/11/2022,1,Shamu,1,Rio Vista,10:39,38.117,-121.70648
2,1/11/2022,2,Shamu,1,Rio Vista,12:32,38.11686,-121.70657
2,1/12/2022,1,Winter Run,1,Rio Vista,9:40,38.1178,-121.70523
2,1/12/2022,2,Winter Run,1,Rio Vista,12:12,38.11743,-121.70601
3,2/3/2022,1,Winter Run,1,Rio Vista,10:06,38.25625,-121.66764
3,2/3/2022,2,Winter Run,1,Rio Vista,12:49,38.25618,-121.66765
4,2/9/2022,1,Winter Run,1,Belden's Landing,9:53,38.1872,-121.97695
4,2/9/2022,2,Winter Run,1,Belden's Landing,12:50,38.18732,-121.97909
4,2/10/2022,1,Winter Run,1,Belden's Landing,9:45,38.18726,-121.97695
4,2/10/2022,2,Winter Run,1,Belden's Landing,11:42,38.18733,-121.97918
5,2/16/2022,1,Winter Run,1,Rio Vista,9:50,38.256604,-121.66772
5,2/16/2022,2,Winter Run,1,Rio Vista,12:19,38.25614,-121.66755
5,2/17/2022,1,Winter Run,1,Rio Vista,9:55,38.25589,-121.66752
